Захаров Петр Олегович;Адмиралтейский округ;5;Объединенные Демократы;
Казачинский  Кирилл Владимирович;Коломна;1;Объединенные Демократы;
Пушкин Владислав Юрьевич;Екатерингофский;11;Объединенные Демократы;
Хвасынова Анастасия Сергеевна;Екатерингофский;12;Штаб Навального;
Войтяцкий Алексей Борисович; округ № 7;13;Объединенные Демократы;
Волков Алексей Маркович; округ № 7;14;Объединенные Демократы;
Касаткин Алексей Викторович; округ № 7;14;Объединенные Демократы;
Вавилина Нэлли Юрьевна; округ № 7;14;Объединенные Демократы;
Диденко Станислав Викторович;Васильевский ;15;Объединенные Демократы;
Касаткин Алексей Викторович;Васильевский ;16;Объединенные Демократы;
Фаттуш Ольга Александровна;Гавань;17;Объединенные Демократы;
Вавилина Нэлли Юрьевна;Гавань;17;Объединенные Демократы;
Журавлев Артем Владимирович;Гавань;17;Объединенные Демократы;
Карлин Евгений Алексеевич;Гавань;17;Объединенные Демократы;
Кузин Сергей Владимирович;Гавань;18;Объединенные Демократы;
Синяк Александра Александровна;Гавань;18;Объединенные Демократы;
Огородников Виталий Игоревич;Гавань;18;Объединенные Демократы;
Кощеева Олеся Викторовна;Гавань;18;Объединенные Демократы;
Суходольский Вадим Александрович;Морской;19;Объединенные Демократы;
Данилов Дмитрий Александрович;Морской;19;Объединенные Демократы;
Васильев Денис Борисович;Морской;19;Объединенные Демократы;
Федин Владимир Александрович;Морской;19;Объединенные Демократы;
Барченков Леонид Борисович;Морской;19;Объединенные Демократы;
Горбацевич Антон Николаевич;Морской;20;Объединенные Демократы;
Батожок Егор Александрович;Морской;20;Объединенные Демократы;
Галкина Ольга Владимировна;Морской;20;Объединенные Демократы;
Камольникова Наталья Владимировна;Морской;20;Объединенные Демократы;
Голубков Александр Андреевич;Морской;20;Объединенные Демократы;
Еленко Евгений Анатольевич;Остров Декабристов;21;Объединенные Демократы;
Стужин Дмитрий Георгиевич;Остров Декабристов;21;Объединенные Демократы;
Силантьев Владимир Владимирович;Остров Декабристов;22;Объединенные Демократы;
Галиллев Сергей Михайлович;Остров Декабристов;22;Объединенные Демократы;
Первовский Владимир Сергеевич;Сампсониевское ;24;Объединенные Демократы;
Воюцкая Мария Игоревна;Светлановское;26;Объединенные Демократы;
Милехин Александр Валерьевич;Светлановское;26;Объединенные Демократы;
Магер Виктор Александрович;Светлановское;28;Объединенные Демократы;
Евстафьева Янина Владимировна;Светлановское;28;Объединенные Демократы;
Кравченко Роман Владимирович;Сосновское ;2;Объединенные Демократы;
Иванов Кирилл Андреевич;Сосновское ;2;Объединенные Демократы;
Квашина Светлана Евгеньевна;Сосновское ;3;Объединенные Демократы;
Деркаченко Виталий Олегович;№ 15;1;Объединенные Демократы;
Максимов Александр Сергеевич;№ 15;1;Объединенные Демократы;
Самусев Сергей Александрович;№ 15;1;Объединенные Демократы;
Немеровский Александр Геннадьевич;Шувалово-Озерки;1;Объединенные Демократы;
Борисов Михаил Максимович;Шувалово-Озерки;2;Объединенные Демократы;
Роман Иван Александрович;Шувалово-Озерки;2;Объединенные Демократы;
Федотов Сергей Владимирович;Шувалово-Озерки;3;Объединенные Демократы;
Капустин Александр Леонидович;Парголово;1;Объединенные Демократы;
Дюве Любовь Николаевна;Парголово;2;Объединенные Демократы;
Вербицкий Павел Анатольевич;Гражданка;45;Объединенные Демократы;
Каширкин Константин Вячеславович;Гражданка;45;Объединенные Демократы;
Мурадов Кэмран Теймур оглы;Гражданка;45;Объединенные Демократы;
Кузьмин Станислав Владимирович;Гражданка;46;Объединенные Демократы;
Лапшангская Анастасия Викторовна;Гражданка;46;Объединенные Демократы;
Петров Алексей Александрович;Гражданка;47;Объединенные Демократы;
Уланов Дмитрий Витальевич;Академическое;52;Объединенные Демократы;
Панов Глеб Борисович;Финлянский округ;53;Объединенные Демократы;
Мошина Юлия Сергеевна;Финлянский округ;53;Объединенные Демократы;
Травин Виктор Владимирович;Финлянский округ;53;Объединенные Демократы;
Зуев Игорь Владимирович;Финлянский округ;53;Объединенные Демократы;
Миловидов Николай Васильевич;Финлянский округ;53;Объединенные Демократы;
Желдыбин Иван Викторович;Финлянский округ;54;Объединенные Демократы;
Суздалев Виталий Александрович;Финлянский округ;54;Объединенные Демократы;
Ромашин Вадим Валерьевич;Финлянский округ;54;Объединенные Демократы;
Левин Кирилл Александрович;Финлянский округ;56;Объединенные Демократы;
Самерсова Наталья Михайловна;Финлянский округ;56;Объединенные Демократы;
