МО;округ;уик;;
Коломна;1;1,2,3,4,5,6,7;;
Коломна;2;8,9,10,11,12,14;;
Адмиралтейский округ;5;23,24,25,26,27;;
Адмиралтейский округ;6;28,29,30,31,32;;
Екатерингофский;11;53,54,55,56;;
Екатерингофский;12;57,59,60,61;;
Сенной округ;3;15,16,17,18;;
Сенной округ;4;19,20,21,22;;
Измайловское;9;43,44,45,46,47;;
Измайловское;10;48,49,50,51,52;;
Семёновское;7;33,34,35,36,37;;
Семёновское;8;38,39,40,41,42;;
Васильевский;15;119,120,121,122,123,124;;
Васильевский;16;125,126,127,128,129,130,131;;
Гавань;17;132,133,134,135,136,137,137,180;;
Гавань;18;139,140,141,142,143,144,145,181;;
Морской;19;146,147,148,149,150,151;;
Морской;20;152,153,154,155,156,157,183;;
Остров Декабристов;21;158,159,160,161,162,163,164,165,166,167,168,169;;
Остров Декабристов;22;170,171,172,173,174,175,176,177,178,179, 182;;
 округ № 7;13;104,105,106,107,108,109,110,111;;
 округ № 7;14;112,113,114,115,116,117,118;;
Сампсониевское;23;330,331,332,333,335,342,343;;
Сампсониевское;24;334,336,337,338,339,340,341;;
Сергиевское;7;234,235,236,237,238,243;;
Сергиевское;8;225,228,229,230,231,232;;
Сергиевское;9;221,222,223,224,226,227;;
Сергиевское;10;233,239,240,241,242,244;;
Сосновское;1;378,382,389,390,398,399,400;;
Сосновское;2;381,385,386,387,388;;
Сосновское;3;379,380,383,384,391,394;;
Сосновское;4;392,393,395,396,397,401;;
Шувалово-Озерки;1;252,253,254,255,256,257,258,260,261;;
Шувалово-Озерки;2;259,262,263,264,265,266,267,270,273;;
Шувалово-Озерки;3;269,271,272,274,275,276,277,278,280;;
Шувалово-Озерки;4;268,279,281,282,283,284,285,286,287,288;;
 №15;1;211,217,218,219,220;;
 №15;2;199,200,208,209,210;;
 №15;3;201,202,203,204,205,206,207;;
 №15;4;212,213,214,215,216;;
Парголово;1;295,296,297,298,299,300,301;;
Парголово;2;291,292,293,294,302,303,304,305,306,307,308,309,310,311,312,313,314,315;;
Светлановское;25;344,346,347,348,349,350,360;;
Светлановское;26;345,351,353,355,356,357,358,361,362,363;;
Светлановское;27;352, 354, 359, 364, 365, 369,370, 371;;
Светлановское;28;366, 367,368, 372,373,374,375,376;;
Левашово;1;290;;
Левашово;2;289;;
Финляндский округ;53;512,513,514,515,516, 573,2283;;
Финляндский округ;54;517,518,519,520,525;;
Финляндский округ;55;521,522,523,524,526;;
Финляндский округ;56;527,528,529,530,531;;
 №21;57;445, 446,447, 448,449, 463;;
 №21;58;450,451,452, 453,455,461;;
 №21;59;454,456,457,458,459,460;;
 №21;60;444,462,464,465,466,467,468;;
Академическое;49;422,423,424,425,426,427,428;;
Академическое;50;437,438,439,440,441,442,443;;
Академическое;51;429,430,431,432,433,434,435,436,509;;
Академическое;52;414,415, 416, 417,418,419,420,421;;
Пискарёвка;61;532,533,534,535, 536,537,538, 539;;
Пискарёвка;62;540,541,542,543,544,546,547,548,574,575;;
Прометей;65;484,486,485,487,488,489;;
Прометей;66;490,492,491,493,494,495;;
Прометей;67;496,497,498,499,500,501;;
Прометей;68;502,503,504,505,506;;
Северный;63;469, 470,471,472,473,474,475,476;;
Северный;64;477,478,479,480,481,482,483;;
Гражданка;45;549,550,551,552,553,554;;
Гражданка;46;555,556,557,558,559;;
Гражданка;47;560,561,562,563,564,570;;
Гражданка;48;565,566,567,568,569,571;;
Морские ворота;89;588,589;;
Морские ворота;90;590,591;;
Дачное;77;787,788,789,790,791,792,793;;
Дачное;78;794,795,796,797,798,799,800;;
Дачное;79;801,802,803,804,805,806,807;;
Дачное;80;808,809,810,811,812,813,814;;
Красненькая речка;1;633,634,635,636,637,638;;
Красненькая речка;2;639,640,641,642,643,644;;
Нарвский округ;1;576,577,578,579,580,581;;
Нарвский округ;2;582,583,584,585,586,587;;
Ульянка;73;757,758,759,760,761,762,763;;
Ульянка;74;764,765,766,767,768,769,770;;
Ульянка;75;771,772,773,774,775,776,777,778;;
Ульянка;76;779,780,781,782,783,784,785,786;;
Княжево;1;611,612,613,614,615,617;;
Княжево;2;616,618,619,620,621;;
Княжево;3;622,623,624,625,626,627;;
Княжево;4;628,629,630,631,632;;
Колпино;1;830, 832,833,834,835,836,837,838,839,841;;
Колпино;2;826,827,828,829,831,840,843,847,848,870,875;;
Колпино;3;842,844,845,846,849,850,851,855,857;;
Колпино;4;852,853,854,858,859,860,861,862,863,864;;
Колпино;5;856,865,866,867,868,869,871,872,873,874;;
Петро-Славянка;1;892;;
Понтонный;1;880,879;;
Понтонный;2;877,878;;
Усть-Ижора;1;881;;
Металлострой;1;882,883,884,885,886;;
Металлострой;2;887,888,889,890,891;;
Саперный;1;876;;
Малая Охта;1;941,942,943,944;;
Малая Охта;2;945,946,947,948,949;;
Малая Охта;3;950,951,952,953;;
Малая Охта;4;954,955,956,957;;
Большая Охта;1;921,922,958;;
Большая Охта;2;923,924;;
Большая Охта;3;925,926;;
Большая Охта;4;927,928;;
Большая Охта;5;930,929;;
Большая Охта;6;931,932;;
Большая Охта;7;933,934;;
Большая Охта;8;935,936;;
Большая Охта;9;937,938;;
Большая Охта;10;940,939;;
Полюстрово;1;901,902,903,904,905,960,961,962,963;;
Полюстрово;2;906,907,908,909,910;;
Полюстрово;3;911,912,913,914,915;;
Полюстрово;4;916,917,918,919,920;;
Ржевка;112;1041,1042,1043,1044,1045,1046,1047;;
Ржевка;113;1040,1035,1036,1037,1038,1039;;
Ржевка;114;1030,1031,1032,1033,1034;;
Ржевка;115;1024,1025,1026,1027,1028,1029;;
Пороховые;108;976,977,978,979,980,981,982,983,984,985,986,997,998;;
Пороховые;109;973,974,975,987,988,989,990,991,992,993,994,995,996;;
Пороховые;110;999,1000,1001,1002,1003,1004,1005,1010,1006,1007,1008,1009;;
Пороховые;111;1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023;;
Красное село;1;1193,1194,1195,1196,1198,1199,1200,1201,1202,1203,1204,1205;;
Красное село;2;1197,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216;;
Константиновское;1;1165,1166,1167,1168,1169,1170;;
Константиновское;2;1171,1172,1173,1174,1175,1176,1177,1178;;
Сосновая Поляна;1;1085,1086,1087,1088,1092,1093,1094,1096,1097;;
Сосновая Поляна;2;1089,1090,1091,1095,1098,1099,1100,1101,1102;;
Урицк;1;1145,1146,1147,1148,1149,1150,1151,1152,1153;;
Урицк;2;1154,1155,1156,1157,1158,1159,1160,1161,1162,1163;;
Юго-Запад;1;1058,1059,1060,1061,1062,1063;;
Юго-Запад;2;1064,1065,1066,1067,1068,1069,1070;;
Юго-Запад;3;1072,1073,1074,1075,1076,1077;;
Юго-Запад;4;1071,1078,1079,1080,1081,1082;;
Горелово;1;1179,1180,1181,1182,1183,1185;;
Горелово;2;1184,1186,1187,1188,1189;;
Южно-Приморский;1;1104,1105,1113,1114,1116,1124,1136,1137,1138;;
Южно-Приморский;2;1103,1106,1107,1117,1118;;
Южно-Приморский;3;1115,1122,1123,1125,1126,1127,1128,1133,1134;;
Южно-Приморский;4;1111,1119,1120,1121,1129,1130,1135,1139;;
Южно-Приморский;5;1108,1109,1110,1112,1131,1132;;
Кронштадт;1;1220,1221,1223,1224,1225,1226,1227,1228,1229,2293;;
Кронштадт;2;1230,1231,1232,1233,1234,1235,1236,1237,1238;;
ПЕСОЧНЫЙ ПОСЕЛОК;1;1256,1257;;
ПЕСОЧНЫЙ ПОСЕЛОК;2;1258,1259;;
РЕПИНО ПОСЕЛОК;1;1260;;
ЗЕЛЕНОГОРОСК ГОРОД;1;1262,1263;;
ЗЕЛЕНОГОРОСК ГОРОД;2;1264,1268,1265,1266,1267;;
Сестрорецк город;1;1239,1240,1241,1242,1243,1244,1245,1273;;
Сестрорецк город;2;1246,1247,1248,1249,1250,1251,1252,1253;;
