Ваш муниципалитет;УИК;Адрес для голосования: ;Место голосования
№ 15;199;улица Руднева, дом 23, литера А;школа №103
№ 15;200;улица Руднева, дом 23, литера А;школа №103
№ 15;201;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;202;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;203;Сиреневый бульвар, дом 8, корпус 2, литера А;школа №110
№ 15;204;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;205;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;206;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;207;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;208;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;209;улица Руднева, дом 23, литера А;школа №103
№ 15;210;улица Руднева, дом 23, литера А;школа №103
№ 15;211;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;212;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;213;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;214;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;215;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;216;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;217;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;218;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;219;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;220;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 21;444;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;445;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;446;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;447;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;448;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;449;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;450;улица Черкасова, дом 7, корпус 2; ГБОУ СОШ №619
№ 21;451;улица Черкасова, дом 7, корпус 2; ГБОУ СОШ №619
№ 21;452;улица Черкасова, дом 15;ГБОУ СОШ №96
№ 21;453;улица Черкасова, дом 15;ГБОУ СОШ №96
№ 21;454;проспект Просвещения, дом 106, корпус 2;ГБОУ СОШ №175
